System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:34:51:380, 49276143114141,    0.122,   15.000, 3700,  17.546,   2.140,   0.594,  16.510,   2.013,   0.559, 65,  0,   0.631,   0.077,   0.021,   0.103,   0.013,   0.003,  30.000,  44.000,  71.000,   0.000,   0.000,   45,   2.752
00:34:51:497, 49276352630497,    0.238,   11.000, 3700,  16.463,   4.056,   1.127,  15.739,   3.845,   1.068, 69,  0,   0.493,   0.134,   0.037,   0.011,   0.014,   0.004,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:51:612, 49276561187630,    0.354,   12.000, 3700,  18.391,   6.187,   1.719,  17.550,   5.879,   1.633, 67,  0,   0.498,   0.192,   0.053,   0.015,   0.016,   0.004,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:51:724, 49276762209060,    0.466,   14.000, 3700,  16.542,   8.034,   2.232,  15.614,   7.622,   2.117, 72,  0,   0.614,   0.261,   0.072,   0.016,   0.017,   0.005,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:51:845, 49276979916575,    0.587,   12.000, 3700,  15.727,   9.936,   2.760,  14.936,   9.429,   2.619, 67,  0,   0.447,   0.315,   0.087,   0.016,   0.019,   0.005,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:51:943, 49277156561126,    0.685,   11.000, 3800,  15.815,  11.489,   3.191,  15.026,  10.904,   3.029, 68,  0,   0.465,   0.360,   0.100,   0.014,   0.021,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:52:049, 49277347347435,    0.791,   12.000, 3800,  15.827,  13.166,   3.657,  15.049,  12.499,   3.472, 70,  0,   0.469,   0.410,   0.114,   0.025,   0.023,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:52:175, 49277574526424,    0.917,   12.000, 3700,  15.287,  15.095,   4.193,  14.568,  14.337,   3.983, 69,  0,   0.399,   0.460,   0.128,   0.026,   0.027,   0.007,  30.000,  44.000,  71.000,   0.000,   0.000,  699,   0.000
00:34:52:296, 49277791475839,    1.038,   19.000, 3700,  21.205,  17.651,   4.903,  20.084,  16.758,   4.655, 65,  0,   0.819,   0.559,   0.155,   0.043,   0.032,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.304
00:34:52:398, 49277974472091,    1.139,   26.000, 3700,  24.017,  20.093,   5.581,  22.668,  19.062,   5.295, 66,  0,   1.458,   0.707,   0.196,   0.027,   0.034,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:34:52:516, 49278187487294,    1.258,   28.000, 3700,  25.477,  23.108,   6.419,  23.803,  21.879,   6.078, 67,  0,   1.500,   0.885,   0.246,   0.024,   0.037,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,  535,   0.000
00:34:52:619, 49278372726689,    1.361,   28.000, 3400,  25.969,  25.780,   7.161,  24.645,  24.416,   6.782, 66,  0,   1.468,   1.036,   0.288,   0.021,   0.039,   0.011,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:34:52:722, 49278558216038,    1.464,   27.000, 3700,  24.470,  28.302,   7.862,  22.978,  26.784,   7.440, 66,  0,   1.477,   1.188,   0.330,   0.050,   0.045,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,  714,   0.000
00:34:52:833, 49278759016624,    1.575,   35.000, 3100,  26.103,  31.214,   8.671,  24.289,  29.493,   8.193, 70,  0,   1.821,   1.391,   0.386,   0.021,   0.047,   0.013,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:52:945, 49278959568027,    1.687,   36.000, 3300,  26.200,  34.133,   9.481,  24.506,  32.224,   8.951, 65,  0,   1.860,   1.598,   0.444,   0.030,   0.050,   0.014,  30.000,  44.000,  71.000,   0.000,   0.000,   10,   0.000
00:34:53:061, 49279168899981,    1.803,   29.000, 3700,  27.602,  37.343,  10.373,  25.591,  35.200,   9.778, 70,  0,   1.556,   1.779,   0.494,   0.041,   0.055,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.000
00:34:53:177, 49279378126041,    1.919,   28.000, 3200,  26.101,  40.377,  11.216,  24.338,  38.029,  10.564, 63,  0,   1.499,   1.954,   0.543,   0.033,   0.059,   0.016,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:34:53:296, 49279591984015,    2.038,   32.000, 3700,  26.465,  43.521,  12.089,  24.913,  40.989,  11.386, 69,  0,   1.556,   2.138,   0.594,   0.057,   0.066,   0.018,  30.000,  44.000,  71.000,   0.000,   0.000,   12,   0.367
00:34:53:413, 49279803039857,    2.155,   26.000, 3400,  25.887,  46.557,  12.932,  24.400,  43.850,  12.180, 69,  0,   1.491,   2.313,   0.643,   0.024,   0.068,   0.019,  30.000,  44.000,  71.000,   0.000,   0.000,  647,   0.000
00:34:53:534, 49280019282389,    2.275,   26.000, 3600,  23.364,  49.364,  13.712,  21.929,  46.484,  12.912, 66,  0,   1.469,   2.490,   0.692,   0.017,   0.071,   0.020,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:53:654, 49280236819913,    2.396,   26.000, 3300,  24.343,  52.306,  14.529,  22.777,  49.237,  13.677, 63,  0,   1.471,   2.667,   0.741,   0.016,   0.073,   0.020,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:53:756, 49280419813799,    2.498,   27.000, 3700,  23.408,  54.685,  15.190,  21.913,  51.465,  14.296, 68,  0,   1.484,   2.818,   0.783,   0.037,   0.076,   0.021,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:34:53:876, 49280635183990,    2.618,   38.000, 3300,  25.598,  57.748,  16.041,  23.900,  54.324,  15.090, 69,  0,   1.944,   3.051,   0.847,   0.021,   0.079,   0.022,  30.000,  44.000,  71.000,   0.000,   0.000,  545,   0.000
00:34:53:992, 49280843573104,    2.733,   38.000, 3000,  24.961,  60.638,  16.844,  22.949,  56.981,  15.828, 66,  0,   1.962,   3.278,   0.911,   0.015,   0.081,   0.022,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:54:100, 49281038427901,    2.842,   31.000, 3600,  25.090,  63.354,  17.598,  23.516,  59.527,  16.535, 67,  0,   1.686,   3.460,   0.961,   0.024,   0.083,   0.023,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:54:234, 49281282301256,    2.977,   40.000, 3800,  25.557,  66.817,  18.560,  23.919,  62.767,  17.435, 69,  0,   1.507,   3.665,   1.018,   0.044,   0.089,   0.025,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.285
00:34:54:336, 49281464391384,    3.078,   28.000, 3400,  23.090,  69.152,  19.209,  21.443,  64.936,  18.038, 69,  0,   1.569,   3.823,   1.062,   0.032,   0.092,   0.026,  30.000,  44.000,  71.000,   0.000,   0.000,   47,   1.605
00:34:54:451, 49281671471478,    3.193,   27.000, 3600,  23.483,  71.854,  19.959,  21.540,  67.414,  18.726, 67,  0,   1.519,   3.998,   1.111,   0.022,   0.095,   0.026,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:54:567, 49281880358111,    3.309,   28.000, 3600,  22.899,  74.511,  20.698,  21.084,  69.861,  19.406, 67,  0,   1.512,   4.174,   1.159,   0.021,   0.097,   0.027,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:34:54:685, 49282091477438,    3.427,   30.000, 3300,  24.140,  77.343,  21.484,  22.269,  72.473,  20.131, 66,  0,   1.559,   4.356,   1.210,   0.028,   0.101,   0.028,  30.000,  44.000,  71.000,   0.000,   0.000,  455,   0.000
00:34:54:787, 49282276290809,    3.529,   31.000, 3100,  24.354,  79.843,  22.179,  22.674,  74.801,  20.778, 68,  0,   1.678,   4.529,   1.258,   0.020,   0.103,   0.029,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:54:901, 49282480226864,    3.643,   38.000, 3200,  26.053,  82.795,  22.999,  24.250,  77.549,  21.541, 69,  0,   1.926,   4.747,   1.319,   0.030,   0.106,   0.029,  30.000,  44.000,  71.000,   0.000,   0.000,  756,   0.000
00:34:55:014, 49282684622407,    3.756,   38.000, 3300,  25.631,  85.705,  23.807,  23.758,  80.246,  22.291, 69,  0,   1.946,   4.968,   1.380,   0.020,   0.108,   0.030,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:55:116, 49282868307877,    3.858,   31.000, 3600,  26.441,  88.404,  24.557,  24.860,  82.783,  22.995, 72,  0,   1.637,   5.135,   1.426,   0.020,   0.110,   0.031,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:55:230, 49283073953353,    3.972,   42.000, 3800,  24.106,  91.158,  25.322,  22.651,  85.371,  23.714, 69,  0,   1.526,   5.309,   1.475,   0.027,   0.113,   0.032,  30.000,  44.000,  71.000,   0.000,   0.000,    9,   0.356
00:34:55:332, 49283257270349,    4.074,   28.000, 3400,  23.577,  93.559,  25.989,  21.899,  87.601,  24.334, 69,  0,   1.570,   5.469,   1.519,   0.077,   0.121,   0.034,  30.000,  44.000,  71.000,   0.000,   0.000,   51,   0.630
00:34:55:448, 49283464951045,    4.190,   27.000, 3300,  22.752,  96.184,  26.718,  21.263,  90.055,  25.015, 65,  0,   1.502,   5.643,   1.567,   0.021,   0.124,   0.034,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:55:562, 49283671143309,    4.304,   27.000, 3400,  22.896,  98.807,  27.446,  21.323,  92.497,  25.694, 65,  0,   1.520,   5.817,   1.616,   0.031,   0.127,   0.035,  30.000,  44.000,  71.000,   0.000,   0.000,  742,   0.000
00:34:55:677, 49283877662124,    4.419,   28.000, 3400,  23.159, 101.464,  28.184,  21.572,  94.972,  26.381, 69,  0,   1.526,   5.992,   1.664,   0.025,   0.130,   0.036,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:55:798, 49284095637283,    4.540,   33.000, 3400,  25.110, 104.504,  29.029,  23.475,  97.815,  27.171, 73,  0,   1.698,   6.197,   1.721,   0.032,   0.134,   0.037,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:34:55:911, 49284298639372,    4.653,   39.000, 3700,  25.754, 107.409,  29.836,  23.809, 100.500,  27.917, 78,  0,   1.969,   6.419,   1.783,   0.031,   0.138,   0.038,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.000
