timestamp,n_samples,n_features,hidden_layer_sizes,classes,activation,solver,iterations,train_score,test_score
2022-03-24T00:14:16.016630,1000,20,"(100,)",2,relu,adam,200,0.9973333333333333,0.888
2022-03-24T00:14:23.374955,1000,20,"(200,)",2,relu,adam,200,1.0,0.904
2022-03-24T00:14:31.503310,1000,20,"(500,)",2,relu,adam,191,1.0,0.908
2022-03-24T00:14:38.640534,2000,20,"(100,)",2,relu,adam,200,0.998,0.934
2022-03-24T00:14:46.582691,2000,20,"(200,)",2,relu,adam,200,1.0,0.944
2022-03-24T00:14:56.798334,2000,20,"(500,)",2,relu,adam,196,1.0,0.95
2022-03-24T00:15:06.092118,5000,20,"(100,)",2,relu,adam,200,0.9968,0.9616
2022-03-24T00:15:18.650860,5000,20,"(200,)",2,relu,adam,200,1.0,0.9568
2022-03-24T00:15:35.163103,5000,20,"(500,)",2,relu,adam,189,1.0,0.9624
2022-03-24T00:15:42.212016,1000,20,"(100,)",3,relu,adam,200,0.9946666666666667,0.888
2022-03-24T00:15:49.433095,1000,20,"(200,)",3,relu,adam,200,1.0,0.88
2022-03-24T00:15:57.721126,1000,20,"(500,)",3,relu,adam,200,1.0,0.888
2022-03-24T00:16:04.905076,2000,20,"(100,)",3,relu,adam,200,0.9993333333333333,0.918
2022-03-24T00:16:13.570879,2000,20,"(200,)",3,relu,adam,200,1.0,0.92
2022-03-24T00:16:24.145899,2000,20,"(500,)",3,relu,adam,200,1.0,0.916
2022-03-24T00:16:34.616192,5000,20,"(100,)",3,relu,adam,200,0.9954666666666667,0.9168
2022-03-24T00:16:45.945604,5000,20,"(200,)",3,relu,adam,200,1.0,0.9272
2022-03-24T00:17:04.139370,5000,20,"(500,)",3,relu,adam,200,1.0,0.9248
2022-03-24T00:17:11.196381,1000,20,"(100,)",7,relu,adam,200,0.9706666666666667,0.664
2022-03-24T00:17:18.750562,1000,20,"(200,)",7,relu,adam,200,1.0,0.664
2022-03-24T00:17:26.826668,1000,20,"(500,)",7,relu,adam,200,1.0,0.696
2022-03-24T00:17:34.019465,2000,20,"(100,)",7,relu,adam,200,0.9786666666666667,0.782
2022-03-24T00:17:43.253442,2000,20,"(200,)",7,relu,adam,200,1.0,0.768
2022-03-24T00:17:54.355704,2000,20,"(500,)",7,relu,adam,200,1.0,0.792
2022-03-24T00:18:04.392078,5000,20,"(100,)",7,relu,adam,200,0.9749333333333333,0.8256
