System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:10:43:303, 531672809885540,    0.105,   10.000, 4100,  24.159,   2.536,   0.705,  22.591,   2.372,   0.659, 67,  0,   0.905,   0.095,   0.026,   0.173,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:10:43:412, 531673093123428,    0.214,    8.000, 4200,  20.788,   4.808,   1.336,  19.552,   4.508,   1.252, 80,  0,   0.702,   0.172,   0.048,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:10:43:522, 531673376731332,    0.324,    8.000, 4200,  26.807,   7.741,   2.150,  25.449,   7.293,   2.026, 90,  0,   0.688,   0.247,   0.069,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:10:43:631, 531673660294130,    0.433,    8.000, 4400,  27.766,  10.779,   2.994,  26.548,  10.197,   2.833, 91,  0,   0.746,   0.329,   0.091,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:10:43:740, 531673943854088,    0.542,    8.000, 4400,  26.007,  13.624,   3.784,  24.589,  12.887,   3.580, 90,  0,   0.686,   0.404,   0.112,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:10:43:850, 531674227144488,    0.652,    8.000, 4400,  25.664,  16.429,   4.564,  24.410,  15.555,   4.321, 91,  0,   0.681,   0.478,   0.133,   0.050,   0.024,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:10:43:959, 531674510683250,    0.761,    8.000, 4300,  26.718,  19.351,   5.375,  25.488,  18.343,   5.095, 89,  0,   0.718,   0.557,   0.155,   0.000,   0.024,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:10:44:068, 531674794076350,    0.870,   23.000, 4000,  33.266,  22.989,   6.386,  31.864,  21.827,   6.063, 75,  0,   0.606,   0.623,   0.173,   0.000,   0.024,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:10:44:178, 531675077943038,    0.980,   27.000, 4000,  33.339,  26.640,   7.400,  32.232,  25.357,   7.044, 72,  0,   0.713,   0.701,   0.195,   0.061,   0.030,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:10:44:287, 531675360984460,    1.089,   25.000, 3600,  32.114,  30.146,   8.374,  30.931,  28.734,   7.982, 70,  0,   0.577,   0.764,   0.212,   0.000,   0.030,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:10:44:397, 531675644374035,    1.199,   25.000, 3600,  33.069,  33.762,   9.378,  31.560,  32.185,   8.940, 72,  0,   0.591,   0.829,   0.230,   0.000,   0.030,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
