timestamp,n_samples,n_features,hidden_layer_sizes,classes,activation,solver,iterations,train_score,test_score
2022-03-23T14:41:47.559736,1000,20,"(100,)",2,relu,adam,200,0.9973333333333333,0.888
2022-03-23T14:41:54.950361,1000,20,"(200,)",2,relu,adam,200,1.0,0.904
2022-03-23T14:42:03.715986,1000,20,"(500,)",2,relu,adam,191,1.0,0.908
2022-03-23T14:42:11.984668,2000,20,"(100,)",2,relu,adam,200,0.998,0.934
2022-03-23T14:42:21.831456,2000,20,"(200,)",2,relu,adam,200,1.0,0.944
2022-03-23T14:42:32.519018,2000,20,"(500,)",2,relu,adam,196,1.0,0.95
2022-03-23T14:42:45.565834,5000,20,"(100,)",2,relu,adam,200,0.9968,0.9616
2022-03-23T14:43:00.347120,5000,20,"(200,)",2,relu,adam,200,1.0,0.9568
2022-03-23T14:43:18.925271,5000,20,"(500,)",2,relu,adam,189,1.0,0.9624
2022-03-23T14:43:26.081458,1000,20,"(100,)",3,relu,adam,200,0.9946666666666667,0.888
2022-03-23T14:43:33.268994,1000,20,"(200,)",3,relu,adam,200,1.0,0.88
2022-03-23T14:43:41.769015,1000,20,"(500,)",3,relu,adam,200,1.0,0.888
2022-03-23T14:43:49.034583,2000,20,"(100,)",3,relu,adam,200,0.9993333333333333,0.918
2022-03-23T14:43:57.690870,2000,20,"(200,)",3,relu,adam,200,1.0,0.92
2022-03-23T14:44:08.753372,2000,20,"(500,)",3,relu,adam,200,1.0,0.916
2022-03-23T14:44:19.315832,5000,20,"(100,)",3,relu,adam,200,0.9954666666666667,0.9168
2022-03-23T14:44:31.565893,5000,20,"(200,)",3,relu,adam,200,1.0,0.9272
2022-03-23T14:44:51.347141,5000,20,"(500,)",3,relu,adam,200,1.0,0.9248
2022-03-23T14:44:58.097097,1000,20,"(100,)",7,relu,adam,200,0.9706666666666667,0.664
2022-03-23T14:45:06.112707,1000,20,"(200,)",7,relu,adam,200,1.0,0.664
2022-03-23T14:45:15.149066,1000,20,"(500,)",7,relu,adam,200,1.0,0.696
2022-03-23T14:45:23.117791,2000,20,"(100,)",7,relu,adam,200,0.9786666666666667,0.782
2022-03-23T14:45:33.509252,2000,20,"(200,)",7,relu,adam,200,1.0,0.768
2022-03-23T14:45:45.365216,2000,20,"(500,)",7,relu,adam,200,1.0,0.792
2022-03-23T14:45:56.490218,5000,20,"(100,)",7,relu,adam,200,0.9749333333333333,0.8256
2022-03-23T14:46:13.592041,5000,20,"(200,)",7,relu,adam,200,0.9976,0.8456
2022-03-23T14:46:34.317891,5000,20,"(500,)",7,relu,adam,200,1.0,0.8456
2022-03-23T14:46:41.786639,1000,50,"(100,)",2,relu,adam,196,1.0,0.9
2022-03-23T14:46:48.239726,1000,50,"(200,)",2,relu,adam,126,1.0,0.916
2022-03-23T14:46:55.381626,1000,50,"(500,)",2,relu,adam,89,1.0,0.928
2022-03-23T14:47:03.506625,2000,50,"(100,)",2,relu,adam,151,1.0,0.946
2022-03-23T14:47:11.319430,2000,50,"(200,)",2,relu,adam,114,1.0,0.948
2022-03-23T14:47:19.547561,2000,50,"(500,)",2,relu,adam,81,1.0,0.952
2022-03-23T14:47:29.516310,5000,50,"(100,)",2,relu,adam,114,1.0,0.9712
2022-03-23T14:47:39.063189,5000,50,"(200,)",2,relu,adam,85,1.0,0.9744
2022-03-23T14:47:50.248949,5000,50,"(500,)",2,relu,adam,66,1.0,0.9776
2022-03-23T14:47:57.108356,1000,50,"(100,)",3,relu,adam,200,1.0,0.864
2022-03-23T14:48:04.097788,1000,50,"(200,)",3,relu,adam,164,1.0,0.848
2022-03-23T14:48:11.808711,1000,50,"(500,)",3,relu,adam,110,1.0,0.892
2022-03-23T14:48:18.933709,2000,50,"(100,)",3,relu,adam,171,1.0,0.882
2022-03-23T14:48:26.782512,2000,50,"(200,)",3,relu,adam,126,1.0,0.874
2022-03-23T14:48:35.199690,2000,50,"(500,)",3,relu,adam,94,1.0,0.896
2022-03-23T14:48:45.090347,5000,50,"(100,)",3,relu,adam,151,1.0,0.9496
2022-03-23T14:48:54.637222,5000,50,"(200,)",3,relu,adam,107,1.0,0.9472
2022-03-23T14:49:06.401740,5000,50,"(500,)",3,relu,adam,79,1.0,0.9584
2022-03-23T14:49:13.182989,1000,50,"(100,)",7,relu,adam,200,1.0,0.544
2022-03-23T14:49:21.280771,1000,50,"(200,)",7,relu,adam,200,1.0,0.548
2022-03-23T14:49:29.802241,1000,50,"(500,)",7,relu,adam,152,1.0,0.6
2022-03-23T14:49:37.302943,2000,50,"(100,)",7,relu,adam,200,1.0,0.674
2022-03-23T14:49:47.622330,2000,50,"(200,)",7,relu,adam,198,1.0,0.728
2022-03-23T14:49:58.179480,2000,50,"(500,)",7,relu,adam,139,1.0,0.786
