System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:00:43:314, 773803739748395,    0.099,   13.000, 3600,  14.459,   1.432,   0.398,  12.854,   1.273,   0.354, 68,  0,   0.459,   0.045,   0.013,   0.035,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,   32,   4.105
18:00:43:423, 773804046692942,    0.208,   12.000, 3500,  14.376,   3.003,   0.834,  12.842,   2.677,   0.744, 68,  0,   0.410,   0.090,   0.025,   0.011,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:43:548, 773804409323438,    0.337,   24.000, 3600,  15.259,   4.974,   1.382,  13.709,   4.447,   1.235, 71,  0,   0.440,   0.147,   0.041,   0.026,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.372
18:00:43:642, 773804660709177,    0.427,   12.000, 3600,  14.784,   6.297,   1.749,  13.052,   5.616,   1.560, 73,  0,   0.523,   0.194,   0.054,   0.019,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,   26,   2.152
18:00:43:751, 773804967736036,    0.536,   12.000, 3600,  14.836,   7.920,   2.200,  13.307,   7.071,   1.964, 76,  0,   0.386,   0.236,   0.066,   0.011,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:43:861, 773805274980985,    0.646,   12.000, 3600,  14.517,   9.508,   2.641,  12.877,   8.479,   2.355, 75,  0,   0.341,   0.273,   0.076,   0.005,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:43:970, 773805581873774,    0.755,   12.000, 3400,  14.208,  11.061,   3.072,  12.672,   9.864,   2.740, 74,  0,   0.398,   0.317,   0.088,   0.004,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:44:079, 773805888880841,    0.864,   12.000, 3600,  13.975,  12.589,   3.497,  12.394,  11.220,   3.117, 72,  0,   0.525,   0.374,   0.104,   0.009,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:44:189, 773806196011101,    0.974,   12.000, 3600,  14.757,  14.203,   3.945,  13.111,  12.654,   3.515, 74,  0,   0.378,   0.416,   0.115,   0.004,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:44:298, 773806502863094,    1.083,   39.000, 3400,  23.817,  16.806,   4.668,  22.268,  15.087,   4.191, 70,  0,   0.551,   0.476,   0.132,   0.006,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:44:407, 773806809986837,    1.192,   48.000, 3400,  26.307,  19.683,   5.467,  24.754,  17.794,   4.943, 66,  0,   0.556,   0.537,   0.149,   0.008,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:44:517, 773807117071664,    1.302,   51.000, 3400,  27.530,  22.694,   6.304,  25.722,  20.607,   5.724, 73,  0,   0.572,   0.599,   0.166,   0.006,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:44:626, 773807424081235,    1.411,   54.000, 3400,  26.205,  25.559,   7.100,  24.574,  23.294,   6.471, 71,  0,   0.669,   0.672,   0.187,   0.032,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    5,   0.634
18:00:44:736, 773807731182441,    1.520,   49.000, 3400,  27.066,  28.519,   7.922,  25.499,  26.083,   7.245, 74,  0,   0.552,   0.733,   0.204,   0.004,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.000
18:00:44:845, 773808038438909,    1.630,   49.000, 3400,  28.815,  31.672,   8.798,  27.012,  29.039,   8.066, 75,  0,   0.582,   0.797,   0.221,   0.009,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:44:954, 773808345340431,    1.739,   49.000, 3400,  24.966,  34.400,   9.556,  23.376,  31.594,   8.776, 72,  0,   0.550,   0.857,   0.238,   0.007,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:45:064, 773808652380386,    1.849,   49.000, 3400,  28.580,  37.526,  10.424,  27.006,  34.546,   9.596, 75,  0,   0.574,   0.919,   0.255,   0.006,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:45:173, 773808959440643,    1.958,   49.000, 3400,  27.567,  40.540,  11.261,  25.725,  37.360,  10.378, 74,  0,   0.574,   0.982,   0.273,   0.009,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:45:282, 773809266372883,    2.067,   50.000, 3400,  27.295,  43.524,  12.090,  25.725,  40.171,  11.159, 74,  0,   0.580,   1.045,   0.290,   0.013,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:45:392, 773809573411166,    2.177,   49.000, 3400,  28.813,  46.674,  12.965,  27.226,  43.148,  11.986, 75,  0,   0.578,   1.109,   0.308,   0.005,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:45:501, 773809880373617,    2.286,   50.000, 3400,  28.242,  49.761,  13.823,  26.338,  46.028,  12.785, 70,  0,   0.722,   1.188,   0.330,   0.011,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:00:45:605, 773810171629911,    2.390,   40.000, 3400,  19.258,  51.759,  14.377,  17.513,  47.844,  13.290, 63,  0,   1.035,   1.295,   0.360,   0.039,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    4,   0.530
18:00:45:605, 773810211024400,    2.404,   14.000, 3400,  13.095,  51.943,  14.429,  11.377,  48.004,  13.334, 67,  0,   0.479,   1.302,   0.362,   0.048,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    4,   0.000

Total Elapsed Time (sec) = 2.403611
Measured RDTSC Frequency (GHz) = 2.808

Cumulative Processor Energy_0 (Joules) = 51.942627
Cumulative Processor Energy_0 (mWh) = 14.428507
Average Processor Power_0 (Watt) = 21.610245

Cumulative IA Energy_0 (Joules) = 48.003723
Cumulative IA Energy_0 (mWh) = 13.334368
Average IA Power_0 (Watt) = 19.971501

Cumulative DRAM Energy_0 (Joules) = 1.301636
Cumulative DRAM Energy_0 (mWh) = 0.361565
Average DRAM Power_0 (Watt) = 0.541533

Cumulative GT Energy_0 (Joules) = 0.030945
Cumulative GT Energy_0 (mWh) = 0.008596
Average GT Power_0 (Watt) = 0.012874
