timestamp,n_samples,n_features,classes,activation,solver,iterations,train_score,test_score,system,layers,layer_size,energy,avg_iteration_energy,cost
2022-03-23T14:41:47.559736,1000,20,2,relu,adam,200,0.9973333333333332,0.888,Dyon,1,100,67.933289,0.339666445,1.0
2022-03-23T14:41:54.950361,1000,20,2,relu,adam,200,1.0,0.904,Dyon,1,200,78.044922,0.39022460999999997,1.1488465102874674
2022-03-23T14:42:03.715986,1000,20,2,relu,adam,191,1.0,0.908,Dyon,1,500,96.380127,0.5046079947643979,1.4187466618906086
2022-03-23T14:42:11.984668,2000,20,2,relu,adam,200,0.998,0.934,Dyon,1,100,143.781006,0.71890503,2.1165029415843533
2022-03-23T14:42:21.831456,2000,20,2,relu,adam,200,1.0,0.944,Dyon,1,200,130.699341,0.653496705,1.9239365990361514
2022-03-23T14:42:32.519018,2000,20,2,relu,adam,196,1.0,0.95,Dyon,1,500,172.072815,0.877922525510204,2.532967526421398
2022-03-23T14:42:45.565834,5000,20,2,relu,adam,200,0.9968,0.9616,Dyon,1,100,232.925964,1.16462982,3.4287455742058945
2022-03-23T14:43:00.347120,5000,20,2,relu,adam,200,1.0,0.9568,Dyon,1,200,282.078125,1.410390625,4.1522812917242975
2022-03-23T14:43:18.925271,5000,20,2,relu,adam,189,1.0,0.9624,Dyon,1,500,375.50116,1.9867786243386245,5.527498602342072
2022-03-23T14:43:26.081458,1000,20,3,relu,adam,200,0.9946666666666668,0.888,Dyon,1,100,56.646301,0.283231505,0.8338518837208073
2022-03-23T14:43:33.268994,1000,20,3,relu,adam,200,1.0,0.88,Dyon,1,200,63.008118,0.31504059,0.9274998888983573
2022-03-23T14:43:41.769015,1000,20,3,relu,adam,200,1.0,0.888,Dyon,1,500,103.684753,0.518423765,1.5262731206787294
2022-03-23T14:43:49.034583,2000,20,3,relu,adam,200,0.9993333333333332,0.918,Dyon,1,100,85.21637,0.42608185,1.2544125458138793
2022-03-23T14:43:57.690870,2000,20,3,relu,adam,200,1.0,0.92,Dyon,1,200,102.879211,0.514396055,1.5144152817332308
2022-03-23T14:44:08.753372,2000,20,3,relu,adam,200,1.0,0.916,Dyon,1,500,192.96405,0.9648202499999999,2.840493266857725
2022-03-23T14:44:19.315832,5000,20,3,relu,adam,200,0.9954666666666668,0.9168,Dyon,1,100,188.854126,0.94427063,2.7799938554425063
2022-03-23T14:44:31.565893,5000,20,3,relu,adam,200,1.0,0.9272,Dyon,1,200,218.96582,1.0948291,3.2232477364668743
2022-03-23T14:44:51.347141,5000,20,3,relu,adam,200,1.0,0.9248,Dyon,1,500,446.690857,2.233454285,6.575433982005493
2022-03-23T14:44:58.097097,1000,20,7,relu,adam,200,0.9706666666666668,0.664,Dyon,1,100,58.093506,0.29046753,0.8551552096940278
2022-03-23T14:45:06.112707,1000,20,7,relu,adam,200,1.0,0.664,Dyon,1,200,90.723511,0.453617555,1.3354794436642101
2022-03-23T14:45:15.149066,1000,20,7,relu,adam,200,1.0,0.696,Dyon,1,500,121.847656,0.60923828,1.7936369310780758
2022-03-23T14:45:23.117791,2000,20,7,relu,adam,200,0.9786666666666668,0.782,Dyon,1,100,87.095947,0.435479735,1.2820805275599123
2022-03-23T14:45:33.509252,2000,20,7,relu,adam,200,1.0,0.768,Dyon,1,200,166.837036,0.8341851800000001,2.455895165034627
2022-03-23T14:45:45.365216,2000,20,7,relu,adam,200,1.0,0.792,Dyon,1,500,228.23584,1.1411792,3.3597054310148295
2022-03-23T14:45:56.490218,5000,20,7,relu,adam,200,0.9749333333333332,0.8256,Dyon,1,100,193.386292,0.96693146,2.8467088057520664
2022-03-23T14:46:13.592041,5000,20,7,relu,adam,200,0.9976,0.8456,Dyon,1,200,380.84552,1.9042276,5.606169311189983
2022-03-23T14:46:34.317891,5000,20,7,relu,adam,200,1.0,0.8456,Dyon,1,500,507.290527,2.536452635,7.467480736874082
2022-03-23T14:46:41.786639,1000,50,2,relu,adam,196,1.0,0.9,Dyon,1,100,70.673706,0.3605801326530612,1.0403398251481684
2022-03-23T14:46:48.239726,1000,50,2,relu,adam,126,1.0,0.916,Dyon,1,200,58.75116,0.4662790476190476,0.864836089417075
2022-03-23T14:46:55.381626,1000,50,2,relu,adam,89,1.0,0.928,Dyon,1,500,63.818848,0.7170657078651685,0.9394340968828994
2022-03-23T14:47:03.506625,2000,50,2,relu,adam,151,1.0,0.946,Dyon,1,100,93.892639,0.6218055562913908,1.3821300334803457
2022-03-23T14:47:11.319430,2000,50,2,relu,adam,114,1.0,0.948,Dyon,1,200,88.109253,0.7728881842105263,1.2969967198261223
2022-03-23T14:47:19.547561,2000,50,2,relu,adam,81,1.0,0.952,Dyon,1,500,99.005127,1.2222855185185186,1.4573875114452357
2022-03-23T14:47:29.516310,5000,50,2,relu,adam,114,1.0,0.9712,Dyon,1,100,152.45105,1.3372899122807018,2.2441287952361617
2022-03-23T14:47:39.063189,5000,50,2,relu,adam,85,1.0,0.9744,Dyon,1,200,140.179138,1.6491663294117647,2.0634822789163056
